Time_ms,Voltage_mV
474.0,-67.18245952289455
474.5,-66.99172548097775
475.0,-66.79757782226213
475.5,-66.59972324825473
476.0,-66.39783469565985
476.5,-66.19154606715202
477.0,-65.98044592614633
477.5,-65.7640699084319
478.0,-65.54189153375349
478.5,-65.31331100772016
479.0,-65.07764148013203
479.5,-64.83409205756807
480.0,-64.5817466379675
480.5,-64.31953731672901
481.0,-64.04621066860638
481.5,-63.760284578743985
482.0,-63.459992389871125
482.5,-63.14320981148056
483.0,-62.807358079946816
483.5,-62.44927390959012
484.0,-62.06503224612042
484.5,-61.649700734535216
485.0,-61.196993428551664
485.5,-60.698772547437486
486.0,-60.144315432268314
486.5,-59.51920864270053
487.0,-58.80363140897759
487.5,-57.9696032426271
488.0,-56.97640201800867
488.5,-55.76259550568908
489.0,-54.231448936475296
489.5,-52.222496366180856
490.0,-49.45181520025388
490.5,-45.37418202092816
491.0,-38.82430203520229
491.5,-26.922237285661758
492.0,-0.9147406340087691
492.5,-65.0
493.0,-68.23143694581962
493.5,-70.86357213290292
494.0,-72.6838352701095
494.5,-73.75706909631757
495.0,-74.29717257222083
495.5,-74.51499010215107
496.0,-74.55601349894944
496.5,-74.50474018760549
497.0,-74.40627759387745
497.5,-74.28380894509357
498.0,-74.14908267373518
498.5,-74.00803874779338
499.0,-73.8636893793854
499.5,-73.71756886494073
500.0,-73.57046088042827
500.50000000000006,-73.42276457933997
501.0,-73.27468012054926
501.50000000000006,-73.12630347166647
502.0,-72.9776752873761
502.50000000000006,-72.82880633724776
503.0,-72.67969084695424
503.50000000000006,-72.53031354941204
504.0,-72.38065342965129
504.50000000000006,-72.2306857136116
505.0,-72.0803829136592
505.50000000000006,-71.92971536079635
506.0,-71.77865145292789
506.50000000000006,-71.62715774243452
507.0,-71.47519892962896
507.50000000000006,-71.32273779809533
508.0,-71.16973511123157
508.50000000000006,-71.01614948008798
509.0,-70.86193720739917
509.50000000000006,-70.70705210969801
510.0,-70.55144531757814
510.50000000000006,-70.39506505299049
511.0,-70.23785638161074
511.50000000000006,-70.07976093762394
512.0,-69.92071661763703
512.5,-69.76065723978314
513.0,-69.59951216337947
513.5,-69.43720586370219
514.0,-69.27365745551846
514.5,-69.10878015792747
515.0,-68.94248069176963
515.5,-68.77465859932009
516.0,-68.60520547412659
516.5,-68.43400408661243
517.0,-68.26092738835048
517.5,-68.08583737460626
518.0,-67.90858378070234
518.5,-67.72900258278115
519.0,-67.54691426739882
519.5,-67.36212182675055
520.0,-67.17440842680305
520.5,-66.98353468364857
521.0,-66.7892354682925
521.5,-66.59121614089487
522.0,-66.3891480909412
522.5,-66.1826634282088
523.0,-65.97134862839424
523.5,-65.75473688367677
524.0,-65.53229883787586
524.5,-65.30343129200855
525.0,-65.06744334017702
525.5,-64.82353922524987
526.0,-64.57079697054569
526.5,-64.30814152101813
527.0,-64.03431067566046
527.5,-63.74781145229504
528.0,-63.44686360521705
528.5,-63.12932567314536
529.0,-62.79259694433186
529.5,-62.43348572359375
530.0,-62.04802967198165
530.5,-61.63124674976344
531.0,-61.17678367101217
531.5,-60.67640964498661
532.0,-60.119270788667684
532.5,-59.490764019014534
533.0,-58.770786879722365
533.5,-57.930927061422395
534.0,-56.929775707894564
534.5,-55.70476023241061
